"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 25 18:37:03 GMT 2025","Mon Aug 25 18:37:06 GMT 2025","2637","tests","test_login_page","TestLoginPage","","","test_login_in_account[test2-tes2t]",""
"failed","Mon Aug 25 18:37:06 GMT 2025","Mon Aug 25 18:37:08 GMT 2025","1333","tests","test_login_page","TestLoginPage","","","test_simple",""
"passed","Mon Aug 25 18:36:57 GMT 2025","Mon Aug 25 18:37:00 GMT 2025","2618","tests","test_login_page","TestLoginPage","","","test_login_in_account[test-test]",""
"passed","Mon Aug 25 18:37:00 GMT 2025","Mon Aug 25 18:37:03 GMT 2025","2538","tests","test_login_page","TestLoginPage","","","test_login_in_account[test1-test1]",""
