"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 24 18:32:15 GMT 2025","Sat May 24 18:32:17 GMT 2025","2433","tests","test_login_page","TestLoginPage","","","test_login_in_account[test2-tes2t]",""
"passed","Sat May 24 18:32:12 GMT 2025","Sat May 24 18:32:14 GMT 2025","2585","tests","test_login_page","TestLoginPage","","","test_login_in_account[test1-test1]",""
"failed","Sat May 24 18:32:17 GMT 2025","Sat May 24 18:32:19 GMT 2025","1361","tests","test_login_page","TestLoginPage","","","test_simple",""
"passed","Sat May 24 18:32:09 GMT 2025","Sat May 24 18:32:11 GMT 2025","2431","tests","test_login_page","TestLoginPage","","","test_login_in_account[test-test]",""
