"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 04 18:32:59 GMT 2025","Tue Mar 04 18:33:01 GMT 2025","2101","tests","test_login_page","TestLoginPage","","","test_login_in_account[test1-test1]",""
"failed","Tue Mar 04 18:33:04 GMT 2025","Tue Mar 04 18:33:05 GMT 2025","892","tests","test_login_page","TestLoginPage","","","test_simple",""
"passed","Tue Mar 04 18:32:57 GMT 2025","Tue Mar 04 18:32:59 GMT 2025","2263","tests","test_login_page","TestLoginPage","","","test_login_in_account[test-test]",""
"passed","Tue Mar 04 18:33:02 GMT 2025","Tue Mar 04 18:33:04 GMT 2025","2114","tests","test_login_page","TestLoginPage","","","test_login_in_account[test2-tes2t]",""
