"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 01 18:28:42 GMT 2025","Sat Mar 01 18:28:44 GMT 2025","2278","tests","test_login_page","TestLoginPage","","","test_login_in_account[test-test]",""
"passed","Sat Mar 01 18:28:44 GMT 2025","Sat Mar 01 18:28:47 GMT 2025","2082","tests","test_login_page","TestLoginPage","","","test_login_in_account[test1-test1]",""
"failed","Sat Mar 01 18:28:50 GMT 2025","Sat Mar 01 18:28:51 GMT 2025","1058","tests","test_login_page","TestLoginPage","","","test_simple",""
"passed","Sat Mar 01 18:28:47 GMT 2025","Sat Mar 01 18:28:50 GMT 2025","2790","tests","test_login_page","TestLoginPage","","","test_login_in_account[test2-tes2t]",""
