"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 02 18:30:12 GMT 2025","Sun Mar 02 18:30:15 GMT 2025","2478","tests","test_login_page","TestLoginPage","","","test_login_in_account[test-test]",""
"passed","Sun Mar 02 18:30:18 GMT 2025","Sun Mar 02 18:30:20 GMT 2025","2326","tests","test_login_page","TestLoginPage","","","test_login_in_account[test2-tes2t]",""
"failed","Sun Mar 02 18:30:21 GMT 2025","Sun Mar 02 18:30:22 GMT 2025","1334","tests","test_login_page","TestLoginPage","","","test_simple",""
"passed","Sun Mar 02 18:30:15 GMT 2025","Sun Mar 02 18:30:18 GMT 2025","2419","tests","test_login_page","TestLoginPage","","","test_login_in_account[test1-test1]",""
