"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 06 18:30:23 GMT 2025","Sun Apr 06 18:30:25 GMT 2025","2229","tests","test_login_page","TestLoginPage","","","test_login_in_account[test-test]",""
"failed","Sun Apr 06 18:30:31 GMT 2025","Sun Apr 06 18:30:32 GMT 2025","1007","tests","test_login_page","TestLoginPage","","","test_simple",""
"passed","Sun Apr 06 18:30:28 GMT 2025","Sun Apr 06 18:30:30 GMT 2025","2121","tests","test_login_page","TestLoginPage","","","test_login_in_account[test2-tes2t]",""
"passed","Sun Apr 06 18:30:26 GMT 2025","Sun Apr 06 18:30:28 GMT 2025","2222","tests","test_login_page","TestLoginPage","","","test_login_in_account[test1-test1]",""
