"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 18 18:31:43 GMT 2025","Tue Feb 18 18:31:46 GMT 2025","2707","tests","test_login_page","TestLoginPage","","","test_login_in_account[test-test]",""
"passed","Tue Feb 18 18:31:46 GMT 2025","Tue Feb 18 18:31:49 GMT 2025","2675","tests","test_login_page","TestLoginPage","","","test_login_in_account[test1-test1]",""
"failed","Tue Feb 18 18:31:52 GMT 2025","Tue Feb 18 18:31:53 GMT 2025","1485","tests","test_login_page","TestLoginPage","","","test_simple",""
"passed","Tue Feb 18 18:31:49 GMT 2025","Tue Feb 18 18:31:52 GMT 2025","2546","tests","test_login_page","TestLoginPage","","","test_login_in_account[test2-tes2t]",""
