"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 27 18:33:18 GMT 2025","Thu Mar 27 18:33:21 GMT 2025","2342","tests","test_login_page","TestLoginPage","","","test_login_in_account[test2-tes2t]",""
"failed","Thu Mar 27 18:33:21 GMT 2025","Thu Mar 27 18:33:22 GMT 2025","957","tests","test_login_page","TestLoginPage","","","test_simple",""
"passed","Thu Mar 27 18:33:16 GMT 2025","Thu Mar 27 18:33:18 GMT 2025","2167","tests","test_login_page","TestLoginPage","","","test_login_in_account[test1-test1]",""
"passed","Thu Mar 27 18:33:13 GMT 2025","Thu Mar 27 18:33:16 GMT 2025","2147","tests","test_login_page","TestLoginPage","","","test_login_in_account[test-test]",""
