"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 21 18:34:31 GMT 2025","Thu Aug 21 18:34:34 GMT 2025","2476","tests","test_login_page","TestLoginPage","","","test_login_in_account[test2-tes2t]",""
"failed","Thu Aug 21 18:34:34 GMT 2025","Thu Aug 21 18:34:35 GMT 2025","1258","tests","test_login_page","TestLoginPage","","","test_simple",""
"passed","Thu Aug 21 18:34:25 GMT 2025","Thu Aug 21 18:34:28 GMT 2025","2570","tests","test_login_page","TestLoginPage","","","test_login_in_account[test-test]",""
"passed","Thu Aug 21 18:34:28 GMT 2025","Thu Aug 21 18:34:31 GMT 2025","2587","tests","test_login_page","TestLoginPage","","","test_login_in_account[test1-test1]",""
