"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 09 18:31:57 GMT 2025","Thu Jan 09 18:32:00 GMT 2025","2347","tests","test_login_page","TestLoginPage","","","test_login_in_account[test-test]",""
"failed","Thu Jan 09 18:32:05 GMT 2025","Thu Jan 09 18:32:06 GMT 2025","852","tests","test_login_page","TestLoginPage","","","test_simple",""
"passed","Thu Jan 09 18:32:03 GMT 2025","Thu Jan 09 18:32:05 GMT 2025","2181","tests","test_login_page","TestLoginPage","","","test_login_in_account[test2-tes2t]",""
"passed","Thu Jan 09 18:32:00 GMT 2025","Thu Jan 09 18:32:02 GMT 2025","2364","tests","test_login_page","TestLoginPage","","","test_login_in_account[test1-test1]",""
