"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 26 18:31:57 GMT 2025","Wed Feb 26 18:31:59 GMT 2025","2571","tests","test_login_page","TestLoginPage","","","test_login_in_account[test2-tes2t]",""
"failed","Wed Feb 26 18:32:00 GMT 2025","Wed Feb 26 18:32:01 GMT 2025","1233","tests","test_login_page","TestLoginPage","","","test_simple",""
"passed","Wed Feb 26 18:31:54 GMT 2025","Wed Feb 26 18:31:56 GMT 2025","2625","tests","test_login_page","TestLoginPage","","","test_login_in_account[test1-test1]",""
"passed","Wed Feb 26 18:31:51 GMT 2025","Wed Feb 26 18:31:53 GMT 2025","2481","tests","test_login_page","TestLoginPage","","","test_login_in_account[test-test]",""
