"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 20 18:36:48 GMT 2025","Wed Aug 20 18:36:51 GMT 2025","2412","tests","test_login_page","TestLoginPage","","","test_login_in_account[test1-test1]",""
"passed","Wed Aug 20 18:36:51 GMT 2025","Wed Aug 20 18:36:54 GMT 2025","2557","tests","test_login_page","TestLoginPage","","","test_login_in_account[test2-tes2t]",""
"failed","Wed Aug 20 18:36:54 GMT 2025","Wed Aug 20 18:36:55 GMT 2025","1260","tests","test_login_page","TestLoginPage","","","test_simple",""
"passed","Wed Aug 20 18:36:45 GMT 2025","Wed Aug 20 18:36:48 GMT 2025","2499","tests","test_login_page","TestLoginPage","","","test_login_in_account[test-test]",""
