"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 24 18:31:58 GMT 2025","Mon Feb 24 18:32:01 GMT 2025","2617","tests","test_login_page","TestLoginPage","","","test_login_in_account[test1-test1]",""
"passed","Mon Feb 24 18:31:54 GMT 2025","Mon Feb 24 18:31:58 GMT 2025","4245","tests","test_login_page","TestLoginPage","","","test_login_in_account[test-test]",""
"failed","Mon Feb 24 18:32:04 GMT 2025","Mon Feb 24 18:32:05 GMT 2025","1238","tests","test_login_page","TestLoginPage","","","test_simple",""
"passed","Mon Feb 24 18:32:01 GMT 2025","Mon Feb 24 18:32:04 GMT 2025","2516","tests","test_login_page","TestLoginPage","","","test_login_in_account[test2-tes2t]",""
