"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Aug 12 18:40:15 GMT 2025","Tue Aug 12 18:40:16 GMT 2025","1253","tests","test_login_page","TestLoginPage","","","test_simple",""
"broken","Tue Aug 12 18:39:49 GMT 2025","Tue Aug 12 18:40:02 GMT 2025","12439","tests","test_login_page","TestLoginPage","","","test_login_in_account[test1-test1]",""
"broken","Tue Aug 12 18:40:02 GMT 2025","Tue Aug 12 18:40:14 GMT 2025","12424","tests","test_login_page","TestLoginPage","","","test_login_in_account[test2-tes2t]",""
"broken","Tue Aug 12 18:39:36 GMT 2025","Tue Aug 12 18:39:49 GMT 2025","12403","tests","test_login_page","TestLoginPage","","","test_login_in_account[test-test]",""
