"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 15 18:32:29 GMT 2025","Tue Apr 15 18:32:31 GMT 2025","2398","tests","test_login_page","TestLoginPage","","","test_login_in_account[test1-test1]",""
"passed","Tue Apr 15 18:32:31 GMT 2025","Tue Apr 15 18:32:34 GMT 2025","2388","tests","test_login_page","TestLoginPage","","","test_login_in_account[test2-tes2t]",""
"failed","Tue Apr 15 18:32:34 GMT 2025","Tue Apr 15 18:32:35 GMT 2025","1210","tests","test_login_page","TestLoginPage","","","test_simple",""
"passed","Tue Apr 15 18:32:26 GMT 2025","Tue Apr 15 18:32:28 GMT 2025","2357","tests","test_login_page","TestLoginPage","","","test_login_in_account[test-test]",""
