"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 10 18:36:08 GMT 2025","Tue Jun 10 18:36:11 GMT 2025","2362","tests","test_login_page","TestLoginPage","","","test_login_in_account[test1-test1]",""
"failed","Tue Jun 10 18:36:14 GMT 2025","Tue Jun 10 18:36:15 GMT 2025","1130","tests","test_login_page","TestLoginPage","","","test_simple",""
"passed","Tue Jun 10 18:36:11 GMT 2025","Tue Jun 10 18:36:13 GMT 2025","2319","tests","test_login_page","TestLoginPage","","","test_login_in_account[test2-tes2t]",""
"passed","Tue Jun 10 18:36:06 GMT 2025","Tue Jun 10 18:36:08 GMT 2025","2485","tests","test_login_page","TestLoginPage","","","test_login_in_account[test-test]",""
