"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 28 18:38:21 GMT 2025","Tue Oct 28 18:38:23 GMT 2025","2518","tests","test_login_page","TestLoginPage","","","test_login_in_account[test-test]",""
"passed","Tue Oct 28 18:38:24 GMT 2025","Tue Oct 28 18:38:26 GMT 2025","2426","tests","test_login_page","TestLoginPage","","","test_login_in_account[test1-test1]",""
"failed","Tue Oct 28 18:38:29 GMT 2025","Tue Oct 28 18:38:31 GMT 2025","1259","tests","test_login_page","TestLoginPage","","","test_simple",""
"passed","Tue Oct 28 18:38:27 GMT 2025","Tue Oct 28 18:38:29 GMT 2025","2422","tests","test_login_page","TestLoginPage","","","test_login_in_account[test2-tes2t]",""
