"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 29 18:35:45 GMT 2025","Mon Sep 29 18:35:47 GMT 2025","2174","tests","test_login_page","TestLoginPage","","","test_login_in_account[test1-test1]",""
"failed","Mon Sep 29 18:35:50 GMT 2025","Mon Sep 29 18:35:51 GMT 2025","986","tests","test_login_page","TestLoginPage","","","test_simple",""
"passed","Mon Sep 29 18:35:42 GMT 2025","Mon Sep 29 18:35:44 GMT 2025","2262","tests","test_login_page","TestLoginPage","","","test_login_in_account[test-test]",""
"passed","Mon Sep 29 18:35:47 GMT 2025","Mon Sep 29 18:35:49 GMT 2025","2149","tests","test_login_page","TestLoginPage","","","test_login_in_account[test2-tes2t]",""
