"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 22 18:35:20 GMT 2025","Thu May 22 18:35:22 GMT 2025","2527","tests","test_login_page","TestLoginPage","","","test_login_in_account[test2-tes2t]",""
"passed","Thu May 22 18:35:14 GMT 2025","Thu May 22 18:35:17 GMT 2025","2487","tests","test_login_page","TestLoginPage","","","test_login_in_account[test-test]",""
"passed","Thu May 22 18:35:17 GMT 2025","Thu May 22 18:35:19 GMT 2025","2513","tests","test_login_page","TestLoginPage","","","test_login_in_account[test1-test1]",""
"failed","Thu May 22 18:35:23 GMT 2025","Thu May 22 18:35:24 GMT 2025","1352","tests","test_login_page","TestLoginPage","","","test_simple",""
