"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 24 18:39:44 GMT 2025","Thu Jul 24 18:39:46 GMT 2025","2496","tests","test_login_page","TestLoginPage","","","test_login_in_account[test-test]",""
"failed","Thu Jul 24 18:39:52 GMT 2025","Thu Jul 24 18:39:54 GMT 2025","1278","tests","test_login_page","TestLoginPage","","","test_simple",""
"passed","Thu Jul 24 18:39:49 GMT 2025","Thu Jul 24 18:39:52 GMT 2025","2467","tests","test_login_page","TestLoginPage","","","test_login_in_account[test2-tes2t]",""
"passed","Thu Jul 24 18:39:47 GMT 2025","Thu Jul 24 18:39:49 GMT 2025","2496","tests","test_login_page","TestLoginPage","","","test_login_in_account[test1-test1]",""
