"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 28 18:28:31 GMT 2024","Sat Dec 28 18:28:34 GMT 2024","2492","tests","test_login_page","TestLoginPage","","","test_login_in_account[test-test]",""
"passed","Sat Dec 28 18:28:37 GMT 2024","Sat Dec 28 18:28:39 GMT 2024","2457","tests","test_login_page","TestLoginPage","","","test_login_in_account[test2-tes2t]",""
"passed","Sat Dec 28 18:28:34 GMT 2024","Sat Dec 28 18:28:37 GMT 2024","2473","tests","test_login_page","TestLoginPage","","","test_login_in_account[test1-test1]",""
"failed","Sat Dec 28 18:28:40 GMT 2024","Sat Dec 28 18:28:41 GMT 2024","1326","tests","test_login_page","TestLoginPage","","","test_simple",""
