"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 23 18:28:12 GMT 2025","Sun Feb 23 18:28:14 GMT 2025","2324","tests","test_login_page","TestLoginPage","","","test_login_in_account[test2-tes2t]",""
"passed","Sun Feb 23 18:28:07 GMT 2025","Sun Feb 23 18:28:09 GMT 2025","2369","tests","test_login_page","TestLoginPage","","","test_login_in_account[test-test]",""
"passed","Sun Feb 23 18:28:09 GMT 2025","Sun Feb 23 18:28:12 GMT 2025","2364","tests","test_login_page","TestLoginPage","","","test_login_in_account[test1-test1]",""
"failed","Sun Feb 23 18:28:15 GMT 2025","Sun Feb 23 18:28:16 GMT 2025","1365","tests","test_login_page","TestLoginPage","","","test_simple",""
