"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 22 18:38:17 GMT 2025","Wed Oct 22 18:38:19 GMT 2025","2376","tests","test_login_page","TestLoginPage","","","test_login_in_account[test1-test1]",""
"failed","Wed Oct 22 18:38:23 GMT 2025","Wed Oct 22 18:38:24 GMT 2025","1141","tests","test_login_page","TestLoginPage","","","test_simple",""
"passed","Wed Oct 22 18:38:14 GMT 2025","Wed Oct 22 18:38:16 GMT 2025","2489","tests","test_login_page","TestLoginPage","","","test_login_in_account[test-test]",""
"passed","Wed Oct 22 18:38:20 GMT 2025","Wed Oct 22 18:38:22 GMT 2025","2564","tests","test_login_page","TestLoginPage","","","test_login_in_account[test2-tes2t]",""
