"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 13 18:31:11 GMT 2025","Thu Feb 13 18:31:14 GMT 2025","2538","tests","test_login_page","TestLoginPage","","","test_login_in_account[test-test]",""
"passed","Thu Feb 13 18:31:14 GMT 2025","Thu Feb 13 18:31:17 GMT 2025","2400","tests","test_login_page","TestLoginPage","","","test_login_in_account[test1-test1]",""
"failed","Thu Feb 13 18:31:20 GMT 2025","Thu Feb 13 18:31:21 GMT 2025","1193","tests","test_login_page","TestLoginPage","","","test_simple",""
"passed","Thu Feb 13 18:31:17 GMT 2025","Thu Feb 13 18:31:19 GMT 2025","2442","tests","test_login_page","TestLoginPage","","","test_login_in_account[test2-tes2t]",""
