"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 25 18:37:34 GMT 2025","Wed Jun 25 18:37:37 GMT 2025","2489","tests","test_login_page","TestLoginPage","","","test_login_in_account[test1-test1]",""
"passed","Wed Jun 25 18:37:37 GMT 2025","Wed Jun 25 18:37:40 GMT 2025","2363","tests","test_login_page","TestLoginPage","","","test_login_in_account[test2-tes2t]",""
"failed","Wed Jun 25 18:37:40 GMT 2025","Wed Jun 25 18:37:41 GMT 2025","1112","tests","test_login_page","TestLoginPage","","","test_simple",""
"passed","Wed Jun 25 18:37:32 GMT 2025","Wed Jun 25 18:37:34 GMT 2025","2437","tests","test_login_page","TestLoginPage","","","test_login_in_account[test-test]",""
