"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 09 18:35:03 GMT 2025","Thu Oct 09 18:35:05 GMT 2025","2407","tests","test_login_page","TestLoginPage","","","test_login_in_account[test2-tes2t]",""
"passed","Thu Oct 09 18:34:58 GMT 2025","Thu Oct 09 18:35:00 GMT 2025","2395","tests","test_login_page","TestLoginPage","","","test_login_in_account[test-test]",""
"failed","Thu Oct 09 18:35:06 GMT 2025","Thu Oct 09 18:35:07 GMT 2025","1200","tests","test_login_page","TestLoginPage","","","test_simple",""
"passed","Thu Oct 09 18:35:00 GMT 2025","Thu Oct 09 18:35:03 GMT 2025","2362","tests","test_login_page","TestLoginPage","","","test_login_in_account[test1-test1]",""
