"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jan 20 18:29:03 GMT 2025","Mon Jan 20 18:29:04 GMT 2025","1221","tests","test_login_page","TestLoginPage","","","test_simple",""
"passed","Mon Jan 20 18:28:54 GMT 2025","Mon Jan 20 18:28:57 GMT 2025","2468","tests","test_login_page","TestLoginPage","","","test_login_in_account[test-test]",""
"passed","Mon Jan 20 18:28:57 GMT 2025","Mon Jan 20 18:29:00 GMT 2025","2449","tests","test_login_page","TestLoginPage","","","test_login_in_account[test1-test1]",""
"passed","Mon Jan 20 18:29:00 GMT 2025","Mon Jan 20 18:29:03 GMT 2025","2630","tests","test_login_page","TestLoginPage","","","test_login_in_account[test2-tes2t]",""
