"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 27 18:33:50 GMT 2025","Wed Aug 27 18:33:52 GMT 2025","2110","tests","test_login_page","TestLoginPage","","","test_login_in_account[test1-test1]",""
"failed","Wed Aug 27 18:33:55 GMT 2025","Wed Aug 27 18:33:56 GMT 2025","889","tests","test_login_page","TestLoginPage","","","test_simple",""
"passed","Wed Aug 27 18:33:53 GMT 2025","Wed Aug 27 18:33:55 GMT 2025","2237","tests","test_login_page","TestLoginPage","","","test_login_in_account[test2-tes2t]",""
"passed","Wed Aug 27 18:33:47 GMT 2025","Wed Aug 27 18:33:50 GMT 2025","2310","tests","test_login_page","TestLoginPage","","","test_login_in_account[test-test]",""
