"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 19 18:27:05 GMT 2025","Sun Jan 19 18:27:07 GMT 2025","2218","tests","test_login_page","TestLoginPage","","","test_login_in_account[test2-tes2t]",""
"passed","Sun Jan 19 18:27:02 GMT 2025","Sun Jan 19 18:27:04 GMT 2025","2101","tests","test_login_page","TestLoginPage","","","test_login_in_account[test1-test1]",""
"failed","Sun Jan 19 18:27:07 GMT 2025","Sun Jan 19 18:27:08 GMT 2025","947","tests","test_login_page","TestLoginPage","","","test_simple",""
"passed","Sun Jan 19 18:27:00 GMT 2025","Sun Jan 19 18:27:02 GMT 2025","2239","tests","test_login_page","TestLoginPage","","","test_login_in_account[test-test]",""
